701,397
220,394
148,346
125,281
125,209
154,163
186,140
230,123
473,124
514,142
542,165
560,191
574,230
575,255
576,290
564,321
536,359
497,389
430,430
372,432
326,434
266,432
221,429
182,419
154,403
129,381
112,360
98,331
85,295
84,239
96,187
116,154
138,126
173,108
209,92
251,85
287,85
338,83
378,85
431,85
469,87
520,104
558,133
583,162
600,195
611,222
613,255
608,298
596,339
574,375
544,401
487,437
425,466
392,469
314,468
246,467
198,461
152,443
114,415
86,383
66,342
50,294
50,239
54,193
73,152
96,121
134,90
172,69
218,54
302,54
713,67
