578,-6
576,97
563,117
547,123
528,124
508,125
490,119
476,107
461,97
446,86
430,77
410,65
386,57
364,53
338,53
311,53
278,57
254,63
235,71
211,83
198,95
183,105
166,119
156,132
145,148
134,172
127,187
115,219
114,245
113,274
113,298
122,331
130,360
149,390
170,415
190,437
211,453
231,467
255,478
278,487
302,491
324,491
345,491
381,487
407,473
452,451
475,433
491,413
493,390
488,369
474,363
456,355
436,361
411,382
390,399
363,411
325,413
297,409
270,404
249,393
228,372
207,344
193,308
188,275
190,230
199,197
224,165
247,147
274,137
297,132
325,128
348,133
365,150
365,167
362,188
344,194
314,199
291,211
272,223
260,255
259,281
266,300
280,316
299,334
322,338
348,342
371,327
392,306
413,284
442,278
476,277
513,279
548,279
580,278
609,278
642,277
678,275
704,274
